data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
2318217,728,SSD5376,5376,"30 November 2018",2018,1,"Strategic development","SSOA: South Sudan Opposition Alliance",,2,"SSUA-Gadet: Southern Sudan United Army (Gadet Faction)",,2,22,"Eastern Africa","South Sudan","Central Equatoria",Juba,Juba,Juba,4.8609,31.6178,1,"Sudan Tribune",Regional,"On November 30th, Peter Gadet's SSUM/A announced that Gadet had been elected as leader of the SSOA (which signed the recent peace agreement with the government and SPLM-IO), replacing Gabriel Changson as interim leader.One member of the SSOA disputed Gadet's victory, insisting that unanimity was required, and claimed a plot to destroy the SSOA was being pursued.",0,1543861098,SSD
2318214,728,SSD5373,5373,"29 November 2018",2018,2,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)","Teachers (South Sudan)",7,37,"Eastern Africa","South Sudan",Jonglei,"Bor South",Makuac,Bor,6.2144,31.562,1,"Radio Tamazuj",Regional,"On or before November 29th, a teacher was murdered in Bor (Jonglei state). The attacker(s) are unknown.",1,1543861098,SSD
2318215,728,SSD5374,5374,"29 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan","Eastern Equatoria",Torit,"Bur (Loronyo)",Torit,4.4182,32.5767,1,"Radio Miraya",National,"On November 29th, unkown gunmen attacked a house in Torit (Eastern Equatoria), spraying the house with bullets, and killing an eight-year old girl in the process. The attackers then abducted the father of the victim.",1,1543861098,SSD
2318216,728,SSD5375,5375,"29 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318213,728,SSD5372,5372,"28 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318212,728,SSD5371,5371,"27 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318210,728,SSD5369,5369,"26 November 2018",2018,2,"Violence against civilians","Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)","Students (South Sudan)",7,17,"Eastern Africa","South Sudan",Jonglei,"Bor South",Makuac,Bor,6.2144,31.562,1,"Radio Tamazuj",Regional,"At an unspecified date (likely towards the end of November), SSPDF soldiers attacked a student in Bor (Jonglei state) as he was returning home in the early evening. This comes amidst a series of complaints against the behaviour of soldiers towards civilians in the city.",0,1543861098,SSD
2318211,728,SSD5370,5370,"26 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318208,728,SSD5367,5367,"25 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)","Teachers (South Sudan)",7,37,"Eastern Africa","South Sudan","Eastern Equatoria",Torit,"Bur (Loronyo)",Torit,4.4182,32.5767,1,"Radio Emmanuel",Subnational,"On November 25th, an unknown group locked the doors to a house belonging to a local headteacher with ten children in it, and then set fire to the structure. The event occurred in Torit (Eastern Equatoria), and comes amidst a spate of incidents of arson this year. No casualties. A police spokesman blamed revellers from local nightclubs.",0,1543861098,SSD
2318209,728,SSD5368,5368,"25 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318206,728,SSD5365,5365,"24 November 2018",2018,1,"Battle-No change of territory","Juba Communal Militia (South Sudan)",,4,"Military Forces of South Sudan (2011-)",,1,14,"Eastern Africa","South Sudan","Central Equatoria",Juba,Juba,Juba,4.8609,31.6178,1,"Eye Radio (South Sudan)",National,"On November 24th, a group of suspected local youth armed with sticks and machetes killed a soldier who intervened to protect a girl they came to attack. Eight suspects (four men, and four women) have been arrested in connection with the incident.",1,1543861098,SSD
2318207,728,SSD5366,5366,"24 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
2318205,728,SSD5364,5364,"23 November 2018",2018,1,"Violence against civilians","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan",Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,MSF,International,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",0,1543861098,SSD
